-2.5	3.00833	-2.25
-2.4	2.508	-2.125
-2.3	2.05567	-2
-2.2	1.64933	-1.875
-2.1	1.287	-1.75
-2	0.966667	-1.625
-1.9	0.686333	-1.5
-1.8	0.444	-1.375
-1.7	0.237667	-1.25
-1.6	0.0653333	-1.125
-1.5	-0.075	-1
-1.4	-0.185333	-0.875
-1.3	-0.267667	-0.75
-1.2	-0.324	-0.625
-1.1	-0.356333	-0.5
-1	-0.366667	-0.375
-0.9	-0.357	-0.25
-0.8	-0.329333	-0.125
-0.7	-0.285667	1.33227e-15
-0.6	-0.228	0.125
-0.5	-0.158333	0.25
-0.4	-0.0786667	0.375
-0.3	0.009	0.5
-0.2	0.102667	0.625
-0.1	0.200333	0.75
1.08247e-15	0.3	0.875
0.1	0.399667	1
0.2	0.497333	1.125
0.3	0.591	1.25
0.4	0.678667	1.375
0.5	0.758333	1.5
0.6	0.828	1.625
0.7	0.885667	1.75
0.8	0.929333	1.875
0.9	0.957	2
1	0.966667	2.125
1.1	0.956333	2.25
1.2	0.924	2.375
1.3	0.867667	2.5
1.4	0.785333	2.625
1.5	0.675	2.75
1.6	0.534667	2.875
1.7	0.362333	3
1.8	0.156	3.125
1.9	-0.0863333	3.25
2	-0.366667	3.375
2.1	-0.687	3.5
2.2	-1.04933	3.625
2.3	-1.45567	3.75
2.4	-1.908	3.875
